condition,threshold_mm,threshold_m,filtered_CAR,raw_CAR,fake_safe_rate,valid_episodes,excluded_episodes,total_episodes
s0_lam0.05_30k,2,0.002,0.495,0.495,0.0,200,0,200
s0_lam0.05_30k,5,0.005,0.495,0.495,0.0,200,0,200
s0_lam0.05_30k,10,0.01,0.495,0.495,0.0,200,0,200
s0_lam0.05_30k,20,0.02,0.495,0.495,0.0,200,0,200
s0_lam0.05_30k,50,0.05,0.495,0.495,0.0,200,0,200
s0_lam0.05_30k,100,0.1,0.495,0.495,0.0,200,0,200
s0_lam0.05_30k,150,0.15,0.495,0.495,0.0,200,0,200
s0_lam0.05_30k,200,0.2,0.495,0.495,0.0,200,0,200
s0_lam0.05_30k,300,0.3,0.484375,0.495,0.03,192,8,200
s0_lam0.1_30k,2,0.002,0.525,0.525,0.0,200,0,200
s0_lam0.1_30k,5,0.005,0.525,0.525,0.0,200,0,200
s0_lam0.1_30k,10,0.01,0.525,0.525,0.0,200,0,200
s0_lam0.1_30k,20,0.02,0.525,0.525,0.0,200,0,200
s0_lam0.1_30k,50,0.05,0.525,0.525,0.0,200,0,200
s0_lam0.1_30k,100,0.1,0.525,0.525,0.0,200,0,200
s0_lam0.1_30k,150,0.15,0.525,0.525,0.0,200,0,200
s0_lam0.1_30k,200,0.2,0.525,0.525,0.0,200,0,200
s0_lam0.1_30k,300,0.3,0.5333333333333333,0.525,0.045,180,20,200
s1_lam0.05_30k,2,0.002,0.555,0.555,0.0,400,0,400
s1_lam0.05_30k,5,0.005,0.555,0.555,0.0,400,0,400
s1_lam0.05_30k,10,0.01,0.555,0.555,0.0,400,0,400
s1_lam0.05_30k,20,0.02,0.555,0.555,0.0,400,0,400
s1_lam0.05_30k,50,0.05,0.555,0.555,0.0,400,0,400
s1_lam0.05_30k,100,0.1,0.555,0.555,0.0,400,0,400
s1_lam0.05_30k,150,0.15,0.555,0.555,0.0,400,0,400
s1_lam0.05_30k,200,0.2,0.555,0.555,0.0,400,0,400
s1_lam0.05_30k,300,0.3,0.5613577023498695,0.555,0.0175,383,17,400
s1_lam0.05_best,2,0.002,0.53,0.53,0.0,200,0,200
s1_lam0.05_best,5,0.005,0.53,0.53,0.0,200,0,200
s1_lam0.05_best,10,0.01,0.53,0.53,0.0,200,0,200
s1_lam0.05_best,20,0.02,0.53,0.53,0.0,200,0,200
s1_lam0.05_best,50,0.05,0.53,0.53,0.0,200,0,200
s1_lam0.05_best,100,0.1,0.53,0.53,0.0,200,0,200
s1_lam0.05_best,150,0.15,0.53,0.53,0.0,200,0,200
s1_lam0.05_best,200,0.2,0.53,0.53,0.0,200,0,200
s1_lam0.05_best,300,0.3,0.544973544973545,0.53,0.015,189,11,200
s2_lam0.05_best,2,0.002,0.555,0.555,0.0,200,0,200
s2_lam0.05_best,5,0.005,0.555,0.555,0.0,200,0,200
s2_lam0.05_best,10,0.01,0.555,0.555,0.0,200,0,200
s2_lam0.05_best,20,0.02,0.555,0.555,0.0,200,0,200
s2_lam0.05_best,50,0.05,0.555,0.555,0.0,200,0,200
s2_lam0.05_best,100,0.1,0.555,0.555,0.0,200,0,200
s2_lam0.05_best,150,0.15,0.555,0.555,0.0,200,0,200
s2_lam0.05_best,200,0.2,0.555,0.555,0.0,200,0,200
s2_lam0.05_best,300,0.3,0.5549738219895288,0.555,0.025,191,9,200
ALL_POOLED,2,0.002,0.5358333333333334,0.5358333333333334,0.0,1200,0,1200
ALL_POOLED,5,0.005,0.5358333333333334,0.5358333333333334,0.0,1200,0,1200
ALL_POOLED,10,0.01,0.5358333333333334,0.5358333333333334,0.0,1200,0,1200
ALL_POOLED,20,0.02,0.5358333333333334,0.5358333333333334,0.0,1200,0,1200
ALL_POOLED,50,0.05,0.5358333333333334,0.5358333333333334,0.0,1200,0,1200
ALL_POOLED,100,0.1,0.5358333333333334,0.5358333333333334,0.0,1200,0,1200
ALL_POOLED,150,0.15,0.5358333333333334,0.5358333333333334,0.0,1200,0,1200
ALL_POOLED,200,0.2,0.5358333333333334,0.5358333333333334,0.0,1200,0,1200
ALL_POOLED,300,0.3,0.5400881057268723,0.5358333333333334,0.025,1135,65,1200
