label,threshold_mm,dfCAR,n_active,n_total
LoRA s0,2,57.0,200,200
LoRA s0,5,57.0,200,200
LoRA s0,10,57.0,200,200
LoRA s0,20,57.0,200,200
LoRA s0,50,57.0,200,200
LoRA s0,100,57.0,200,200
LoRA s0,200,57.0,200,200
LoRA s0,300,57.0,200,200
LoRA s1,2,52.5,200,200
LoRA s1,5,52.5,200,200
LoRA s1,10,52.5,200,200
LoRA s1,20,52.5,200,200
LoRA s1,50,52.5,200,200
LoRA s1,100,52.5,200,200
LoRA s1,200,52.5,200,200
LoRA s1,300,52.53,198,200
SDF λ=0.005 s0,2,57.0,200,200
SDF λ=0.005 s0,5,57.0,200,200
SDF λ=0.005 s0,10,57.0,200,200
SDF λ=0.005 s0,20,57.0,200,200
SDF λ=0.005 s0,50,57.0,200,200
SDF λ=0.005 s0,100,57.0,200,200
SDF λ=0.005 s0,200,57.0,200,200
SDF λ=0.005 s0,300,57.07,198,200
SDF λ=0.005 s1,2,54.0,200,200
SDF λ=0.005 s1,5,54.0,200,200
SDF λ=0.005 s1,10,54.0,200,200
SDF λ=0.005 s1,20,54.0,200,200
SDF λ=0.005 s1,50,54.0,200,200
SDF λ=0.005 s1,100,54.0,200,200
SDF λ=0.005 s1,200,54.0,200,200
SDF λ=0.005 s1,300,54.04,198,200
SDF λ=0.005 s2,2,52.5,200,200
SDF λ=0.005 s2,5,52.5,200,200
SDF λ=0.005 s2,10,52.5,200,200
SDF λ=0.005 s2,20,52.5,200,200
SDF λ=0.005 s2,50,52.5,200,200
SDF λ=0.005 s2,100,52.5,200,200
SDF λ=0.005 s2,200,52.5,200,200
SDF λ=0.005 s2,300,52.26,199,200
SDF λ=0.01 s0,2,57.0,200,200
SDF λ=0.01 s0,5,57.0,200,200
SDF λ=0.01 s0,10,57.0,200,200
SDF λ=0.01 s0,20,57.0,200,200
SDF λ=0.01 s0,50,57.0,200,200
SDF λ=0.01 s0,100,57.0,200,200
SDF λ=0.01 s0,200,57.0,200,200
SDF λ=0.01 s0,300,57.0,200,200
SDF λ=0.01 s1,2,57.5,200,200
SDF λ=0.01 s1,5,57.5,200,200
SDF λ=0.01 s1,10,57.5,200,200
SDF λ=0.01 s1,20,57.5,200,200
SDF λ=0.01 s1,50,57.5,200,200
SDF λ=0.01 s1,100,57.5,200,200
SDF λ=0.01 s1,200,57.5,200,200
SDF λ=0.01 s1,300,57.07,198,200
SDF λ=0.01 s2,2,54.5,200,200
SDF λ=0.01 s2,5,54.5,200,200
SDF λ=0.01 s2,10,54.5,200,200
SDF λ=0.01 s2,20,54.5,200,200
SDF λ=0.01 s2,50,54.5,200,200
SDF λ=0.01 s2,100,54.5,200,200
SDF λ=0.01 s2,200,54.5,200,200
SDF λ=0.01 s2,300,54.04,198,200
